stimulus_id,base_id,onset,medial,nucleus,coda,ipa,pinyin,pinyin_number,ascii,tone,is_attested,is_rare,rarity,source_row,original_line_number
pi4,pi,pʰ,,i,,pʰi,pì,pi4,pi,4,unknown,False,common,52,74
pi5,pi,pʰ,,i,,pʰi,pi,pi5,pi,5,unknown,False,common,52,74
pin1,pin,pʰ,,i,n,pʰin,pīn,pin1,pin,1,unknown,False,common,53,75
pin2,pin,pʰ,,i,n,pʰin,pín,pin2,pin,2,unknown,False,common,53,75
pin3,pin,pʰ,,i,n,pʰin,pǐn,pin3,pin,3,unknown,False,common,53,75
pin4,pin,pʰ,,i,n,pʰin,pìn,pin4,pin,4,unknown,False,common,53,75
pin5,pin,pʰ,,i,n,pʰin,pin,pin5,pin,5,unknown,False,common,53,75
ping1,ping,pʰ,,i,ŋ,pʰiŋ,pīng,ping1,ping,1,unknown,False,common,54,76
ping2,ping,pʰ,,i,ŋ,pʰiŋ,píng,ping2,ping,2,unknown,False,common,54,76
ping3,ping,pʰ,,i,ŋ,pʰiŋ,pǐng,ping3,ping,3,unknown,False,common,54,76
ping4,ping,pʰ,,i,ŋ,pʰiŋ,pìng,ping4,ping,4,unknown,False,common,54,76
ping5,ping,pʰ,,i,ŋ,pʰiŋ,ping,ping5,ping,5,unknown,False,common,54,76
pu1,pu,pʰ,,u,,pʰu,pū,pu1,pu,1,unknown,False,common,55,77
pu2,pu,pʰ,,u,,pʰu,pú,pu2,pu,2,unknown,False,common,55,77
pu3,pu,pʰ,,u,,pʰu,pǔ,pu3,pu,3,unknown,False,common,55,77
pu4,pu,pʰ,,u,,pʰu,pù,pu4,pu,4,unknown,False,common,55,77
pu5,pu,pʰ,,u,,pʰu,pu,pu5,pu,5,unknown,False,common,55,77
po1,po,pʰ,,ə,,pʰuo,pō,po1,po,1,unknown,False,common,56,81
po2,po,pʰ,,ə,,pʰuo,pó,po2,po,2,unknown,False,common,56,81
po3,po,pʰ,,ə,,pʰuo,pǒ,po3,po,3,unknown,False,common,56,81
po4,po,pʰ,,ə,,pʰuo,pò,po4,po,4,unknown,False,common,56,81
po5,po,pʰ,,ə,,pʰuo,po,po5,po,5,unknown,False,common,56,81
pei1,pei,pʰ,,ə,i,pʰei,pēi,pei1,pei,1,unknown,False,common,57,82
pei2,pei,pʰ,,ə,i,pʰei,péi,pei2,pei,2,unknown,False,common,57,82
pei3,pei,pʰ,,ə,i,pʰei,pěi,pei3,pei,3,unknown,False,common,57,82
pei4,pei,pʰ,,ə,i,pʰei,pèi,pei4,pei,4,unknown,False,common,57,82
pei5,pei,pʰ,,ə,i,pʰei,pei,pei5,pei,5,unknown,False,common,57,82
pou1,pou,pʰ,,ə,u,pʰou,pōu,pou1,pou,1,unknown,True,rare,58,83
pou2,pou,pʰ,,ə,u,pʰou,póu,pou2,pou,2,unknown,True,rare,58,83
pou3,pou,pʰ,,ə,u,pʰou,pǒu,pou3,pou,3,unknown,True,rare,58,83
pou4,pou,pʰ,,ə,u,pʰou,pòu,pou4,pou,4,unknown,True,rare,58,83
pou5,pou,pʰ,,ə,u,pʰou,pou,pou5,pou,5,unknown,True,rare,58,83
pen1,pen,pʰ,,ə,n,pʰən,pēn,pen1,pen,1,unknown,True,rare,59,84
pen2,pen,pʰ,,ə,n,pʰən,pén,pen2,pen,2,unknown,True,rare,59,84
pen3,pen,pʰ,,ə,n,pʰən,pěn,pen3,pen,3,unknown,True,rare,59,84
pen4,pen,pʰ,,ə,n,pʰən,pèn,pen4,pen,4,unknown,True,rare,59,84
pen5,pen,pʰ,,ə,n,pʰən,pen,pen5,pen,5,unknown,True,rare,59,84
peng1,peng,pʰ,,ə,ŋ,pʰəŋ,pēng,peng1,peng,1,unknown,False,common,60,85
peng2,peng,pʰ,,ə,ŋ,pʰəŋ,péng,peng2,peng,2,unknown,False,common,60,85
peng3,peng,pʰ,,ə,ŋ,pʰəŋ,pěng,peng3,peng,3,unknown,False,common,60,85
peng4,peng,pʰ,,ə,ŋ,pʰəŋ,pèng,peng4,peng,4,unknown,False,common,60,85
peng5,peng,pʰ,,ə,ŋ,pʰəŋ,peng,peng5,peng,5,unknown,False,common,60,85
pa1,pa,pʰ,,a,,pʰa,pā,pa1,pa,1,unknown,False,common,61,86
pa2,pa,pʰ,,a,,pʰa,pá,pa2,pa,2,unknown,False,common,61,86
pa3,pa,pʰ,,a,,pʰa,pǎ,pa3,pa,3,unknown,False,common,61,86
pa4,pa,pʰ,,a,,pʰa,pà,pa4,pa,4,unknown,False,common,61,86
pa5,pa,pʰ,,a,,pʰa,pa,pa5,pa,5,unknown,False,common,61,86
pai1,pai,pʰ,,a,i,pʰai,pāi,pai1,pai,1,unknown,False,common,62,87
